To_Time,High,Low,Open,Close
2020-01-31 13:30:00,315.3,312.96,314.78,313.209
2020-01-31 14:00:00,313.28,310.05,313.23,312.58
2020-01-31 14:30:00,323.87,311.23,312.6,311.577
2020-01-31 15:00:00,314.29,311.36,311.544,312.1838
2020-01-31 15:30:00,312.57,310.3621,312.22,310.825
2020-01-31 16:00:00,320.83,308.25,310.81,309.33
2020-02-03 10:00:00,311.0,302.21,304.28,310.76
2020-02-03 10:30:00,312.91,302.43,310.79,312.4
2020-02-03 11:00:00,313.25,309.51,312.44,312.33
2020-02-03 11:30:00,313.47,309.51,312.35,312.78
2020-02-03 12:00:00,313.49,311.63,312.8001,311.9613
2020-02-03 12:30:00,312.12,310.4329,311.93,310.945
2020-02-03 13:00:00,311.2,308.65,310.9599,308.73
2020-02-03 13:30:00,309.02,306.12,308.73,306.88
2020-02-03 14:00:00,308.31,306.63,306.86,307.79
2020-02-03 14:30:00,309.51,306.67,307.7989,307.3495
2020-02-03 15:00:00,309.51,306.91,307.3437,307.09
2020-02-03 15:30:00,308.91,302.3349,307.09,308.9033
2020-02-03 16:00:00,319.17,307.35,308.91,308.71
2020-02-04 10:00:00,316.86,313.63,315.39,314.3781
2020-02-04 10:30:00,316.39,313.8,314.4,316.23
2020-02-04 11:00:00,317.52,308.66,316.2699,317.4909
2020-02-04 11:30:00,318.32,308.66,317.48,318.0842
2020-02-04 12:00:00,319.54,317.93,318.09,318.3964
2020-02-04 12:30:00,318.44,316.54,318.4247,317.6391
2020-02-04 13:00:00,318.5388,308.66,317.65,318.34
2020-02-04 13:30:00,318.66,308.66,318.34,318.29
2020-02-04 14:00:00,319.4,318.1379,318.2897,319.2683
2020-02-04 14:30:00,319.64,308.66,319.28,318.9086
2020-02-04 15:00:00,319.36,318.62,318.9,318.87
2020-02-04 15:30:00,319.14,318.32,318.8698,318.5505
2020-02-04 16:00:00,319.13,317.43,318.55,318.86
2020-02-05 10:00:00,324.77,320.9111,323.51,323.0
2020-02-05 10:30:00,323.5,320.05,323.0,320.7
2020-02-05 11:00:00,321.1846,318.85,320.7,320.7799
2020-02-05 11:30:00,321.5898,318.85,320.75,320.955
2020-02-05 12:00:00,321.4,319.7,320.9581,321.37
2020-02-05 12:30:00,323.52,318.0806,321.35,321.36
2020-02-05 13:00:00,323.71,321.0,321.35,321.36
2020-02-05 13:30:00,323.52,318.85,321.38,320.2298
2020-02-05 14:00:00,323.52,320.04,320.25,320.608
2020-02-05 14:30:00,321.13,318.85,320.6169,320.7633
2020-02-05 15:00:00,321.52,320.6,320.755,321.25
2020-02-05 15:30:00,322.5,317.69,321.265,322.19
2020-02-05 16:00:00,322.25,320.53,322.18,321.58
2020-02-06 10:00:00,323.69,308.81,322.5,322.38
2020-02-06 10:30:00,322.5,320.36,322.37,320.5495
2020-02-06 11:00:00,323.3361,320.38,320.52,321.685
2020-02-06 11:30:00,322.62,321.32,321.7,322.51
2020-02-06 12:00:00,322.85,320.53,322.51,321.6348
2020-02-06 12:30:00,323.08,321.54,321.6454,323.05
2020-02-06 13:00:00,323.58,322.68,323.06,323.5
2020-02-06 13:30:00,324.0,323.3502,323.5,323.69
2020-02-06 14:00:00,324.7,322.615,323.7061,324.58
2020-02-06 14:30:00,324.99,321.45,324.5925,324.603
2020-02-06 15:00:00,325.0,324.4709,324.64,324.515
2020-02-06 15:30:00,324.68,323.92,324.53,324.12
2020-02-06 16:00:00,325.22,324.1018,324.11,325.21
2020-02-07 10:00:00,322.73,308.89,322.38,321.21
2020-02-07 10:30:00,322.48,320.44,321.18,322.22
2020-02-07 11:00:00,325.21,321.425029,322.2198,322.3769
2020-02-07 11:30:00,325.21,321.75,322.38,322.96
2020-02-07 12:00:00,323.4,309.63,322.96,322.83
2020-02-07 12:30:00,323.4,322.52,322.84,323.2579
2020-02-07 13:00:00,323.2799,322.56,323.24,322.6
2020-02-07 13:30:00,322.758,321.88,322.58,322.2234
2020-02-07 14:00:00,322.5448,317.9,322.23,320.7474
2020-02-07 14:30:00,325.21,318.33,320.73,319.6075
2020-02-07 15:00:00,322.17,315.67,319.58,319.6
2020-02-07 15:30:00,320.0548,318.0,319.58,318.34
2020-02-07 16:00:00,323.1541,318.12,318.29,320.04
2020-02-10 10:00:00,318.95,313.85,314.18,318.25
2020-02-10 10:30:00,318.59,314.0,318.25,318.2401
2020-02-10 11:00:00,320.07,317.95,318.26,318.9426
2020-02-10 11:30:00,320.25,318.917,318.917,319.8559
2020-02-10 12:00:00,320.1299,318.8,319.84,318.9082
2020-02-10 12:30:00,319.56,318.14,318.9068,319.24
2020-02-10 13:00:00,319.48,318.73,319.2385,319.37
2020-02-10 13:30:00,320.0,319.3,319.385,319.66
2020-02-10 14:00:00,319.95,319.24,319.65,319.37
2020-02-10 14:30:00,320.03,319.01,319.36,319.87
2020-02-10 15:00:00,320.77,314.13,319.87,320.6555
2020-02-10 15:30:00,321.35,320.03,320.6441,321.268
2020-02-10 16:00:00,321.55,320.55,321.25,321.55
2020-02-11 10:00:00,323.9,321.55,323.43,321.745
2020-02-11 10:30:00,322.49,321.58,321.75,322.1991
2020-02-11 11:00:00,323.29,321.55,322.18,322.83
2020-02-11 11:30:00,323.06,321.55,322.81,322.46
2020-02-11 12:00:00,322.65,321.01,322.47,321.93
2020-02-11 12:30:00,322.4,321.25,321.94,322.028
2020-02-11 13:00:00,322.79,321.55,322.0232,322.693
2020-02-11 13:30:00,323.01,321.88,322.7199,322.4298
2020-02-11 14:00:00,322.66,321.47,322.4204,321.7777
2020-02-11 14:30:00,322.0929,320.16,321.7759,320.68
2020-02-11 15:00:00,321.9404,320.4,320.69,320.68
2020-02-11 15:30:00,322.8714,318.71,320.68,319.19
2020-02-11 16:00:00,319.73,318.75,319.18,319.61
2020-02-12 10:00:00,323.89,321.47,321.55,323.4608
2020-02-12 10:30:00,323.6517,322.3,323.46,322.3744
2020-02-12 11:00:00,323.5,319.61,322.36,323.25
2020-02-12 11:30:00,324.65,319.61,323.2584,324.16
2020-02-12 12:00:00,324.58,323.71,324.18,324.39
2020-02-12 12:30:00,324.82,324.0,324.39,324.794
2020-02-12 13:00:00,325.4,324.2251,324.7904,325.29
2020-02-12 13:30:00,325.34,324.63,325.3,325.1
2020-02-12 14:00:00,325.26,324.485,325.1,325.1401
2020-02-12 14:30:00,325.34,319.61,325.13,324.9616
2020-02-12 15:00:00,325.54,324.84,324.9562,325.2799
2020-02-12 15:30:00,325.47,319.61,325.27,325.4
2020-02-12 16:00:00,327.21,325.2,325.4,327.21
2020-02-13 10:00:00,325.96,323.35,324.25,324.6285
2020-02-13 10:30:00,325.27,323.57,324.64,323.99
2020-02-13 11:00:00,327.2,323.54,323.99,325.34
2020-02-13 11:30:00,327.2,324.97,325.34,325.2959
2020-02-13 12:00:00,325.6232,324.115455,325.29,324.99
2020-02-13 12:30:00,326.22,324.402,324.98,325.5958
2020-02-13 13:00:00,327.2,298.6,325.5931,324.6319
2020-02-13 13:30:00,325.39,324.4,324.62,325.23
2020-02-13 14:00:00,326.08,325.02,325.24,325.75
2020-02-13 14:30:00,327.2,325.15,325.76,325.5347
2020-02-13 15:00:00,326.18,325.51,325.535,326.0482
2020-02-13 15:30:00,327.2,323.5,326.04,325.23
2020-02-13 16:00:00,325.3,324.42,325.22,324.91
2020-02-14 10:00:00,325.98,323.51,324.71,323.95
2020-02-14 10:30:00,324.97,314.177,324.1136,324.9276
2020-02-14 11:00:00,325.94,324.4576,324.4576,325.72
